ID,group,hrs,saa,FGF-2,Eotaxin,G-CSF,IL1a,GM-CSF,Fractalkine,IL-13,IL-5,IL-18,IL1B,IL-6,IL-17A,IL-2,IL-4,IL-12,IFNg,IL-8,IP-10,GRO,MCP-1,IL-10,TNFa,RANTES
NEG,control,2,0,11,10,12,13,13,11,10,45,139,28,54,12,48,61,9,38,50,27,10,11,47,35,17
NEG,control,4,0,10,10,11,12,12,10,10,45,148,31,60,12,55,63,9,39,90,24,10,10,51,39,16
NEG,control,8,0,11,11,13,13,13,11,10,46,130,28,49,12,43,61,9,37,70,28.5,11,11,44,34,18
NEG,control,24,40,11,10,12,13,13,11,10,49,145,32,57,12,49,64,9,41,102,69,11,10,49,38,18
NEG,control,48,182,10,9,11,12,12,10,10,49,152,39,66,12,59,65,8,41,61,62,10,9,55,41,17
NEG,control,72,200,10,9,10,12,12,10,9,48,155,32,65,12,59,66,8,41,124,67,10,9,47,41,16
MAT,control,0,0,21,9,9,13,13,9,8,50,79,54,55,11,56,32,8,30,76,16,9,10,83,52,15
MAT,control,0.5,0,19,10,10,13,14,10,8,40,58.5,46,44.5,11,42,26,9,26,50,15,10,11,65,43,15
MAT,control,1,0,19,10,10,13,13,10,8.5,38,58,46,45,11,42,25,9,26,103,15,10,10,62,41,15
MAT,control,2,0,22,9,11,13,13,9,9,53,86,59,62,11,60,36,9,33,129,17,10,11,92,55,15
MAT,control,4,0,23,10,13,13,13,10,9,50,83,57,62,11.5,57,32,9,33,184,18,10,12,76.5,53,15
MAT,control,8,0,27,11,11,14,14,10,10,66,101,73,72,12,69,43,9,40,220,19,11,12,94.5,69,15
MAT,control,24,1089,27,9,11,14,13,9,9,62.5,94,66,74,11,68,44,8,44,190.5,18,10,10,122,64,15
MAT,control,48,2015,30,10,11,15,14,10,9,64,91.5,68,76,11,72,45,8.5,48,214,18,10,10,113.5,68,15
MAT,control,72,1482,30,9,10,15,13,10,8,69,102,71,86,11,79,50,8,47,243,22.5,10,12,120,72,15
