ID,group,hrs,saa,Eotaxin,G-CSF,IL1a,IL-5,IL-18,IL-6,IL-17A,IL-2,IL-4,IFNg,IL-8,IP-10,IL-10,TNFa
Vesunna,control,2,11,5.3,500.15,202.68,469.53,15.81,20,148.24,3,751.49,50,25,23.83,151.94,2
Vesunna,control,4,75,5.3,400.51,137.92,407.05,15.81,20,123.81,3,751.49,50,25,14.56,142.73,2
Vesunna,control,8,30,5.3,400.51,160.15,378.72,13.35,20,123.81,3,630.56,50,25,14.56,142.73,2
Vesunna,control,24,114,4.58,400.51,160.15,378.72,12.14,20,121.39,3,621.21,50,25,20.17,151.94,2
Vesunna,control,48,140,5.3,343.05,109.12,364.58,14.57,20,110.37,3,705.12,50,25,5,133.56,2
Vesunna,control,72,128,5.3,400.51,168.31,421.23,13.35,20,127.44,3,686.53,50,25,18.32,133.56,2
Rita,control,0,11,5.3,400.51,10,629.47,44.01,20,3,3,788.46,162.22,103.88,16.45,322.61,10.56
Rita,control,0.5,16,5.3,400.51,10,629.47,45.4,20,3,3,871.28,162.22,25,18.32,303.39,10.56
Rita,control,1,10,5.3,400.51,10,738.76,52.37,20,3,4.5,926.25,310.21,138.41,21.09,351.51,14.96
Rita,control,2,8,5.3,343.05,10,661.04,48.19,20,3,4.5,843.73,280.87,103.88,18.32,370.81,12.73
Rita,control,4,0,6.01,400.51,10,658.17,48.19,20,3,4.5,894.21,280.87,269.43,22.01,390.14,12.73
Rita,control,8,38,5.3,400.51,10,678.29,49.58,20,3,4.5,917.1,368.43,25,34.36,419.17,14.96
Rita,control,24,933,6.01,400.51,10,761.86,57.97,20,3,8.22,1027,510.89,302.17,49.02,467.62,19.57
Rita,control,48,2394,6.01,400.51,10,663.92,49.58,20,3,6.33,917.1,280.87,200.75,41.03,351.51,14.96
Myla,control,0,37,37.43,2758,1643,4719,826.01,1810,352.48,459.78,6834,11296,1307,127.27,7935,1250
Myla,control,0.5,17,34.28,2868,1711,4840,798.31,1726,407.61,453.85,6834,10959,1281,100.81,8070,1222
Myla,control,1,8,35.7,2712,1708,4323,794.18,1701,346.21,441.66,6643,10783,1269,120.06,7466,1196
Myla,control,2,23,34.46,2523,1643,3796,712.77,1521,300.99,403.16,5775,9886,1164,123.96,6404,1063
Myla,control,4,42,32.08,2754,1619,4358,751.14,1621,379.05,419.09,6150,10392,1202,95.92,7177,1127
Myla,control,8,22,45.14,3168,1852,5688,973.38,2238,442.32,547.33,8601,13185,1558,150.98,10082,1486
Myla,control,24,2362,38.11,2859,1967,4920,866.66,1961,396.71,493.78,7671,11986,1391,160.49,8749,1330
Myla,control,48,3000,35,2619,1856,4385,765.29,1667,342.02,431.93,6499,10520,1246,140.14,7249,1164
Myla,control,72,3000,30.18,2365,1622,3723,670.79,1364,325.25,368.26,5739,9327,1126,116.66,6071,978.53
